"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2014",4190.681,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2015",4381.229,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2016",4565.873,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2017",4790.513,
"AUS","HEALTHEXP","TOT","USD_CAP","A","2018",5005.316,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2014",4858.587,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2015",4944.771,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2016",5139.924,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2017",5270.235,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2018",5395.106,"P"
"BEL","HEALTHEXP","TOT","USD_CAP","A","2014",4477.796,
"BEL","HEALTHEXP","TOT","USD_CAP","A","2015",4526.597,
"BEL","HEALTHEXP","TOT","USD_CAP","A","2016",4666.226,
"BEL","HEALTHEXP","TOT","USD_CAP","A","2017",4832.265,
"BEL","HEALTHEXP","TOT","USD_CAP","A","2018",4943.537,"E"
"CAN","HEALTHEXP","TOT","USD_CAP","A","2014",4463.64,
"CAN","HEALTHEXP","TOT","USD_CAP","A","2015",4550.831,
"CAN","HEALTHEXP","TOT","USD_CAP","A","2016",4698.016,
"CAN","HEALTHEXP","TOT","USD_CAP","A","2017",4811.79,"P"
"CAN","HEALTHEXP","TOT","USD_CAP","A","2018",4974.33,"P"
"CZE","HEALTHEXP","TOT","USD_CAP","A","2014",2564.609,
"CZE","HEALTHEXP","TOT","USD_CAP","A","2015",2545.511,
"CZE","HEALTHEXP","TOT","USD_CAP","A","2016",2627.698,
"CZE","HEALTHEXP","TOT","USD_CAP","A","2017",2850.406,
"CZE","HEALTHEXP","TOT","USD_CAP","A","2018",3032.585,"E"
"DNK","HEALTHEXP","TOT","USD_CAP","A","2014",4536.239,
"DNK","HEALTHEXP","TOT","USD_CAP","A","2015",4674.496,
"DNK","HEALTHEXP","TOT","USD_CAP","A","2016",4774.269,
"DNK","HEALTHEXP","TOT","USD_CAP","A","2017",5024.522,
"DNK","HEALTHEXP","TOT","USD_CAP","A","2018",5298.821,"E"
"FIN","HEALTHEXP","TOT","USD_CAP","A","2014",3807.597,
"FIN","HEALTHEXP","TOT","USD_CAP","A","2015",3990.642,"B"
"FIN","HEALTHEXP","TOT","USD_CAP","A","2016",4024.49,
"FIN","HEALTHEXP","TOT","USD_CAP","A","2017",4128.12,
"FIN","HEALTHEXP","TOT","USD_CAP","A","2018",4235.55,"E"
"FRA","HEALTHEXP","TOT","USD_CAP","A","2014",4641.508,
"FRA","HEALTHEXP","TOT","USD_CAP","A","2015",4675.804,
"FRA","HEALTHEXP","TOT","USD_CAP","A","2016",4844.017,
"FRA","HEALTHEXP","TOT","USD_CAP","A","2017",4930.776,
"FRA","HEALTHEXP","TOT","USD_CAP","A","2018",4964.71,"E"
