"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2014",3.4,
"AUS","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2015",3.2,
"AUS","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2016",3.1,
"AUS","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2017",3.3,
"AUT","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2014",3,
"AUT","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2015",3.1,
"AUT","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2016",3.1,
"AUT","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2017",2.9,
"BEL","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2014",3.4,
"BEL","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2015",3.3,
"BEL","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2016",3.2,
"BEL","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2017",3.6,
"CAN","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2014",4.7,
"CAN","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2015",4.5,
"CAN","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2016",4.5,
"CAN","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2017",4.5,
"CZE","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2014",2.4,
"CZE","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2015",2.5,
"CZE","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2016",2.8,
"CZE","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2017",2.7,
"DNK","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2014",4,
"DNK","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2015",3.7,
"DNK","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2016",3.1,
"DNK","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2017",3.8,
"FIN","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2014",2.2,
"FIN","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2015",1.7,
"FIN","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2016",1.9,
"FIN","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2017",2,
"FRA","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2014",3.5,
"FRA","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2015",3.7,
"FRA","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2016",3.7,
"FRA","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2017",3.9,"P"
"FRA","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2018",3.8,"P"
"DEU","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2014",3.2,
"DEU","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2015",3.3,
"DEU","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2016",3.4,
"DEU","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2017",3.3,
"GRC","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2014",3.7,
"GRC","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2015",4,
"GRC","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2016",4.2,
"GRC","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2017",3.5,
"HUN","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2014",4.5,
"HUN","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2015",4.2,
"HUN","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2016",3.9,
"HUN","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2017",3.5,
"ISL","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2014",2.1,
"ISL","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2015",2.2,
"ISL","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2016",0.7,
"ISL","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2017",2.7,
"IRL","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2014",3.3,
"IRL","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2015",3.4,
"IRL","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2016",3,
"IRL","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2017",3,
"ITA","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2014",2.8,
"ITA","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2015",2.9,
"ITA","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2016",2.8,
"ITA","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2017",2.7,
"JPN","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2014",2.1,
"JPN","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2015",1.9,
"JPN","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2016",2,
"KOR","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2014",3,
"KOR","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2015",2.7,
"KOR","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2016",2.8,
"KOR","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2017",2.8,
"LUX","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2014",2.8,
"LUX","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2015",2.8,
"LUX","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2016",3.8,
"LUX","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2017",3.2,
"MEX","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2014",12.5,
"MEX","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2015",12.5,
"MEX","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2016",12.1,
"MEX","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2017",12.1,
"NLD","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2014",3.6,
"NLD","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2015",3.3,
"NLD","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2016",3.5,
"NLD","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2017",3.6,
"NZL","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2014",5.7,
"NZL","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2015",4.3,
"NOR","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2014",2.4,
"NOR","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2015",2.3,
"NOR","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2016",2.2,
"NOR","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2017",2.3,
"POL","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2014",4.2,
"POL","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2015",4,
"POL","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2016",4,
"POL","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2017",4,
"PRT","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2014",2.9,
"PRT","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2015",2.9,
"PRT","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2016",3.2,
"PRT","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2017",2.7,
"SVK","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2014",5.8,
"SVK","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2015",5.1,
"SVK","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2016",5.4,
"SVK","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2017",4.5,
"ESP","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2014",2.8,
"ESP","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2015",2.7,
"ESP","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2016",2.7,
"ESP","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2017",2.7,
"SWE","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2014",2.2,
"SWE","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2015",2.5,
"SWE","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2016",2.5,
"SWE","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2017",2.4,
"CHE","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2014",3.9,
"CHE","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2015",3.9,
"CHE","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2016",3.6,
"CHE","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2017",3.5,
"TUR","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2014",11.1,
"TUR","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2015",10.2,
"TUR","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2016",9.9,
"TUR","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2017",9.2,
